fichier	auteur	titre	source	siècle_composition	type_textuel	genre_textuel
SARRASINE	Honoré de Balzac	Sarrasine	Wikisource	19e	narratif	nouvelle
CHATEAUBRIANDGENIE	François-René de Chateaubriand	Génie du christianisme	Frantext	19e	non narratif	traité argumentatif
CODECIVILDESFRANCAIS-1	NaN	Code civil des français (Code Napoléon)	Wikisource	19e	non narratif	texte juridique
CODECIVILDESFRANCAIS-2	NaN	Code civil des français (Code napoléon)	Wikisource	19e	non narratif	texte juridique
MADEMOISELLEFIFI-1	Guy de Maupassant	Mademoiselle Fifi, nouveaux contes (1)	Projet Gutenberg	19e	narratif	nouvelle
MADEMOISELLEFIFI-2	Guy de Maupassant	Mademoiselle Fifi, nouveaux contes (2)	Projet Gutenberg	19e	narratif	nouvelle
MADEMOISELLEFIFI-3	Guy de Maupassant	Mademoiselle Fifi, nouveaux contes (3)	Projet Gutenberg	19e	narratif	nouvelle
MADAMEDEHAUTEFORT	Victor Cousin	Madame de Hautefort	Wikisource	19e	narratif	biographie
PAULINE	Alexandre Dumas	Pauline	Wikisource	19e	narratif	roman
NEMOVILLE	Adèle Bourgeois	Némoville	Wikisource	20e	narratif	roman
DELAVILLEAUMOULIN	Marguerite Audoux	De la ville au moulin	Wikisource	20e	narratif	roman
ESTREPUBLICAIN	NaN	Est Républicain_1 (collection d'articles)	Ortolang	20e	non narratif	articles de presse
CONVTRANSPORTAERIEN	NaN	Convention pour l'unification de certaines règ...	http://eur-lex.europa.eu	20e	non narratif	texte juridique
CONVENTIONMILIEUMARIN	NaN	Convention pour la protection du milieu marin ...	http://eur-lex.europa.eu	20e	non narratif	texte juridique
CODEPROCEDUREPENALE	NaN	Code de procédure pénale	Legifrance	20e	non narratif	texte juridique
CONVENTIONINSTITUNIV	NaN	Convention portant création d'un institut univ...	http://eur-lex.europa.eu	20e	non narratif	texte juridique
ADEN	Paul Nizan	Aden Arabie	http://www.ebooksgratuits.com/	20e	non narratif	pamphlet
ELISABETHSETON	Laure CoN/A	Élisabeth Seton	Wikisource	20e	narratif	biographie
ROSALIEDECONSTANT	Lucie Achard	Rosalie de Constant, sa famille et ses amis	Wikisource	20e	narratif	biographie
JEANCHRISTOPHE-1	Romain Rolland	Jean-Christophe (1)	Wikisource	20e	narratif	roman
JEANCHRISTOPHE-2	Romain Rolland	Jean-Christophe (2)	Wikisource	20e	narratif	roman
ESTREPUBLICAIN-2	NaN	Est Républicain_2 (collection d'articles)	Ortolang	20e	non narratif	articles de presse
DOUCELUMIERE	Marguerite Audoux	Douce Lumière	Wikisource	20e	narratif	roman
DIABLEAUCORPS	Raymond Radiguet	Le diable au corps	Wikisource	20e	narratif	roman
CONVENTIONTHONTROPICAL	NaN	Convention relative au renforcement de la Comm...	http://eur-lex.europa.eu	21e	non narratif	texte juridique
ARTICLESWIKI	NaN	Articles encyclopédiques ""zèbre"", ""girafe"", ""s..."	Wikipedia	21e	non narratif	articles encyclopédiques
